dates;values
2023-02;161.99
2023-01;160.08
2022-12;158.89
2022-11;159.96
2022-10;159.94
2022-09;159.64
2022-08;157.83
2022-07;153.58
2022-06;156.11
2022-05;155.14
2022-04;155.26
2022-03;150.21
2022-02;152.42
2022-01;155.86
2021-12;157.94
2021-11;144.93
2021-10;155.3
2021-09;151.07
2021-08;149.58
2021-07;147.9
2021-06;151.9
2021-05;153.95
2021-04;159.25
2021-03;142.96
2021-02;149.89
2021-01;156.36
2020-12;158.77
2020-11;152.25
2020-10;137.64
2020-09;141.13
2020-08;162.92
2020-07;150.68
2020-06;146.12
2020-05;123.72
2020-04;58.59
2020-03;104.0
2020-02;147.14
2020-01;151.7
2019-12;142.17
2019-11;153.68
2019-10;150.65
2019-09;153.98
2019-08;149.81
2019-07;145.29
2019-06;149.47
2019-05;152.87
2019-04;138.73
2019-03;151.6
2019-02;147.23
2019-01;133.22
2018-12;133.03
2018-11;139.99
2018-10;137.26
2018-09;135.71
2018-08;120.67
2018-07;143.96
2018-06;149.88
2018-05;108.39
2018-04;129.09
2018-03;128.56
2018-02;119.16
2018-01;127.24
2017-12;128.86
2017-11;119.68
2017-10;117.77
2017-09;116.01
2017-08;105.6
2017-07;108.05
2017-06;103.65
2017-05;89.77
2017-04;97.48
2017-03;107.38
2017-02;107.55
2017-01;103.73
2016-12;98.91
2016-11;104.29
2016-10;102.43
2016-09;98.15
2016-08;109.54
2016-07;102.63
2016-06;104.13
2016-05;103.7
2016-04;105.09
2016-03;100.91
2016-02;104.99
2016-01;99.93
2015-12;102.28
2015-11;98.04
2015-10;105.95
2015-09;91.33
2015-08;106.22
2015-07;99.96
2015-06;102.2
2015-05;102.96
2015-04;102.58
2015-03;97.24
2015-02;98.58
2015-01;92.66
2014-12;96.02
2014-11;92.2
2014-10;93.29
2014-09;95.08
2014-08;90.64
2014-07;93.06
2014-06;92.89
2014-05;86.87
2014-04;101.97
2014-03;88.42
2014-02;85.41
2014-01;91.16
2013-12;93.94
2013-11;98.04
2013-10;91.22
2013-09;88.79
2013-08;77.23
2013-07;90.41
2013-06;90.23
2013-05;85.08
2013-04;91.72
2013-03;86.0
2013-02;88.92
2013-01;94.72
2012-12;105.08
2012-11;88.57
2012-10;80.8
2012-09;92.51
2012-08;75.48
2012-07;96.89
2012-06;94.61
2012-05;104.04
2012-04;88.65
2012-03;111.73
2012-02;114.94
2012-01;107.7
2011-12;95.14
2011-11;109.89
2011-10;102.02
2011-09;105.48
2011-08;104.03
2011-07;105.95
2011-06;102.44
2011-05;128.87
2011-04;109.03
2011-03;104.35
2011-02;100.64
2011-01;104.14
2010-12;105.72
2010-11;103.4
2010-10;107.01
2010-09;107.06
2010-08;99.76
2010-07;111.07
2010-06;106.61
2010-05;108.99
2010-04;100.15
2010-03;82.66
2010-02;80.89
2010-01;71.37
2009-12;75.89
2009-11;64.39
2009-10;66.49
2009-09;66.98
2009-08;73.88
2009-07;67.33
2009-06;67.04
2009-05;64.84
2009-04;72.55
2009-03;72.27
2009-02;72.97
2009-01;60.44
2008-12;87.09
2008-11;82.02
2008-10;83.58
2008-09;89.39
2008-08;95.21
2008-07;96.86
2008-06;93.24
2008-05;91.08
2008-04;102.8
2008-03;85.99
2008-02;98.18
2008-01;98.76
2007-12;98.95
2007-11;100.04
2007-10;105.42
2007-09;99.44
2007-08;90.86
2007-07;81.94
2007-06;93.97
2007-05;91.36
2007-04;79.2
2007-03;89.26
2007-02;90.02
2007-01;90.16
2006-12;85.27
2006-11;88.2
2006-10;86.46
2006-09;80.36
2006-08;82.3
2006-07;80.82
2006-06;82.71
2006-05;82.2
2006-04;84.26
2006-03;80.93
2006-02;95.0
2006-01;80.31
2005-12;81.81
2005-11;86.47
2005-10;78.05
2005-09;89.07
2005-08;80.92
2005-07;84.16
2005-06;89.4
2005-05;95.18
2005-04;80.4
2005-03;86.74
2005-02;82.98
2005-01;90.98
2004-12;82.84
2004-11;83.07
2004-10;86.85
2004-09;88.96
2004-08;84.82
2004-07;90.79
2004-06;86.65
2004-05;84.71
2004-04;84.89
2004-03;88.98
2004-02;85.11
2004-01;83.27
2003-12;84.23
2003-11;82.25
2003-10;87.59
2003-09;89.35
2003-08;101.63
2003-07;88.04
2003-06;85.63
2003-05;82.44
2003-04;94.11
2003-03;89.36
2003-02;92.85
2003-01;89.51
2002-12;87.99
2002-11;86.19
2002-10;84.71
2002-09;82.79
2002-08;86.42
2002-07;83.96
2002-06;88.09
2002-05;88.53
2002-04;87.27
2002-03;90.26
2002-02;86.84
2002-01;87.56
2001-12;84.47
2001-11;83.89
2001-10;83.25
2001-09;76.7
2001-08;83.17
2001-07;78.49
2001-06;78.14
2001-05;76.59
2001-04;83.02
2001-03;86.4
2001-02;88.06
2001-01;82.48
2000-12;92.6
2000-11;85.91
2000-10;87.29
2000-09;78.65
2000-08;83.06
2000-07;83.67
2000-06;87.75
2000-05;95.27
2000-04;100.04
2000-03;85.66
2000-02;86.53
2000-01;88.21
1999-12;101.27
1999-11;101.08
1999-10;98.63
1999-09;95.99
1999-08;99.45
1999-07;94.98
1999-06;93.28
1999-05;98.87
1999-04;101.14
1999-03;95.61
1999-02;94.54
1999-01;95.47
1998-12;87.81
1998-11;85.75
1998-10;83.15
1998-09;83.16
1998-08;89.3
1998-07;88.14
1998-06;81.61
1998-05;78.74
1998-04;79.43
1998-03;82.85
1998-02;84.1
1998-01;83.28
1997-12;87.44
1997-11;86.09
1997-10;87.61
1997-09;92.24
1997-08;90.3
1997-07;91.5
1997-06;91.73
1997-05;85.66
1997-04;85.69
1997-03;88.39
1997-02;86.8
1997-01;84.99
1996-12;81.54
1996-11;82.25
1996-10;80.86
1996-09;83.84
1996-08;88.21
1996-07;79.33
1996-06;86.28
1996-05;90.35
1996-04;82.24
1996-03;84.53
1996-02;85.96
1996-01;85.51
1995-12;78.07
1995-11;91.12
1995-10;87.67
1995-09;77.6
1995-08;96.71
1995-07;84.6
1995-06;83.8
1995-05;87.79
1995-04;86.43
1995-03;86.95
1995-02;85.04
1995-01;86.71
1994-12;85.37
1994-11;84.08
1994-10;85.1
1994-09;79.48
1994-08;77.58
1994-07;82.89
1994-06;76.89
1994-05;75.12
1994-04;78.81
1994-03;74.76
1994-02;75.81
1994-01;76.21
1993-12;73.58
1993-11;75.16
1993-10;76.62
1993-09;74.13
1993-08;71.3
1993-07;74.18
1993-06;70.06
1993-05;69.81
1993-04;67.28
1993-03;63.91
1993-02;64.85
1993-01;67.3
1992-12;66.14
1992-11;66.52
1992-10;66.43
1992-09;67.48
1992-08;68.76
1992-07;67.21
1992-06;68.84
1992-05;69.9
1992-04;65.44
1992-03;71.75
1992-02;72.09
1992-01;69.81
1991-12;73.83
1991-11;74.81
1991-10;71.27
1991-09;72.94
1991-08;73.07
1991-07;69.46
1991-06;74.74
1991-05;73.07
1991-04;71.57
1991-03;73.6
1991-02;71.56
1991-01;70.5
1990-12;71.16
1990-11;66.46
1990-10;67.23
1990-09;68.11
1990-08;64.5
1990-07;65.05
1990-06;68.43
1990-05;65.88
1990-04;69.77
1990-03;65.13
1990-02;65.07
1990-01;64.91
